Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category
PharmEasy Medical Store & Lab Tests -Devansh Enterprises,"Shop No.2 Ground Floor, Plot No.28, Siddhivinayak Apartment, Seawoods West, Sector 44A, Seawoods, Navi Mumbai, Maharashtra 400706, India",Sector 44A,Seawoods,Navi Mumbai,Maharashtra,400706,+91 70204 09835,5.0,1.0,"pharmacy, health, store, point_of_interest, establishment",19.012703,73.0108789,localisy13179,ChIJ-wno1xXD5zsRNa9A0Svy_Ww,photos\localisy10385_1.jpg,,,,,Medical Stores
Ayush Medical,"2288+9C2, Seawoods West, Sector 42A, Seawoods, Navi Mumbai, Maharashtra 400706, India",Sector 42A,Seawoods,Navi Mumbai,Maharashtra,400706,,,,"pharmacy, health, store, point_of_interest, establishment",19.0158919,73.01602,localisy13181,ChIJE8M0IPLD5zsRrrrrUk9g9qs,,,,,,Medical Stores
Mahalaxmi Medical,"Sector 46 A, Seawoods, Navi Mumbai, Maharashtra 400706, India",Sector 46 A,Seawoods,Navi Mumbai,Maharashtra,400706,+91 98198 93436,,,"medical_center, hospital, health, point_of_interest, service, establishment",19.0124452,73.0135488,localisy13182,ChIJP7MqJpnD5zsRbJuuCE-Npcg,photos\localisy10387_1.jpg,,,,,Medical Stores
Devansh medical,"shop no 2, siddhivinayak apartment, plot no 28, Seawoods West, Sector 44A, Seawoods, Navi Mumbai, Maharashtra 400706, India",Sector 44A,Seawoods,Navi Mumbai,Maharashtra,400706,+91 81692 42260,4.8,6.0,"drugstore, health, store, point_of_interest, establishment",19.012654,73.0110223,localisy13183,ChIJuUUZfOTD5zsRQAE5NxZPGTE,photos\localisy10388_1.jpg,,,,,Medical Stores
Day 7 Chemist,"Shop Number 65, Riddhi Shidhi Residency, plot Number 53a, Sector 8, New Panvel East, Panvel, Maharashtra 410206, India",Sector 8,Panvel,Navi Mumbai,Maharashtra,410206,+91 91679 11051,3.5,8.0,"drugstore, pharmacy, health, store, point_of_interest, establishment",19.00231,73.12117800000001,localisy13425,ChIJl5hoGkXo5zsRBNC83caShCI,photos\localisy10925_1.jpg,,,,,Medical Stores
Sai Shradha Medical & General Stores,"Shop No. 1,Classic pearl Bldg. Plot No, Sector 22, Sector 12, New Panvel East, Panvel, Maharashtra 410206, India",Sector 12,Panvel,Navi Mumbai,Maharashtra,410206,+91 98200 16506,5.0,1.0,"drugstore, health, store, point_of_interest, establishment",18.9977759,73.127127,localisy13428,ChIJ8VoUaFzo5zsRJjAB-izzUHY,photos\localisy10930_1.jpg,,,,,Medical Stores
MedPlus Railway Station Road Panvel,"Shops Nos 10 and 11 PL 18 Sec-15A, Hari Ashirwad CHS, Apt, New Panvel East, Panvel, Navi Mumbai, Panvel, Maharashtra 410206, India",Panvel,Panvel,Navi Mumbai,Maharashtra,410206,+91 40 6700 6700,3.8,14.0,"pharmacy, general_store, drugstore, food_store, health, store, food, point_of_interest, establishment",18.9907151,73.1245896,localisy13429,ChIJww-7r-rp5zsRORxTKyYeuak,photos\localisy10931_1.jpg,,,,,Medical Stores
"Zeno Health Pharmacy - Sector -3, New Panvel.","Shop No. 18, RIDDHI SIDDHI RESIDENCY, plot no-53/53A, Sector 3, New Panvel East, Panvel, Maharashtra 410206, India",Sector 3,Panvel,Navi Mumbai,Maharashtra,410206,+91 83558 93887,4.9,302.0,"pharmacy, drugstore, health, store, point_of_interest, establishment",19.0022321,73.1209059,localisy13430,ChIJh-GgWdTp5zsRCkaZCv6-ETk,photos\localisy10932_1.jpg,,,,,Medical Stores
Vinayak Medical and General Stores,"Shop No. 12, Tirupati Garden, Plot No. F-7, Sector 6, New Panvel East, Panvel, Maharashtra 410206, India",Sector 6,Panvel,Navi Mumbai,Maharashtra,410206,+91 93210 40000,5.0,10.0,"pharmacy, cosmetics_store, health, store, point_of_interest, establishment",19.0097873,73.1161158,localisy13431,ChIJLRf_mq_p5zsRLIOjSk5q0Eg,photos\localisy10938_1.jpg,,,,,Medical Stores
Jain medical,"A/28/10, sector-13, cidco colony, Sector 13, New Panvel East, Panvel, Maharashtra 410206, India",Sector 13,Panvel,Navi Mumbai,Maharashtra,410206,+91 99878 29158,5.0,4.0,"pharmacy, health, store, point_of_interest, establishment",18.995924,73.1255915,localisy13432,ChIJnSDzG8vp5zsRiGk9w9ZKETA,photos\localisy10939_1.jpg,,,,,Medical Stores
